original_title,genres,actor1,actor2,director,popularity,release_date,vote_average,vote_count,production_companies,budget_adj,revenue_adj,release_year,runtime,id,imdb_id
Southpaw,Action,Jake Gyllenhaal,Rachel McAdams,Antoine Fuqua,5.337064,6/15/15,7.3,1386,Escape Artists,27599987.856005296,84373003.7158783,2015,123,307081,tt1798684
San Andreas,Action,Dwayne Johnson,Alexandra Daddario,Brad Peyton,4.907832,5/27/15,6.1,2060,New Line Cinema,101199955.47201899,432851374.985395,2015,114,254128,tt2126355
Fifty Shades of Grey,Drama,Dakota Johnson,Jamie Dornan,Sam Taylor-Johnson,4.71040199999999,2/11/15,5.3,1865,Focus Features,36799983.808007106,524079119.045187,2015,125,216015,tt2322441
The Big Short,Comedy,Christian Bale,Steve Carell,Adam McKay,4.648046,12/11/15,7.3,1545,Paramount Pictures,25759988.665604897,122678731.54135801,2015,130,318846,tt1596363
Mission: Impossible - Rogue Nation,Action,Tom Cruise,Jeremy Renner,Christopher McQuarrie,4.566713,7/23/15,7.1,2349,Paramount Pictures,137999939.280026,627743451.672881,2015,131,177677,tt2381249
Ted 2,Comedy,Mark Wahlberg,Seth MacFarlane,Seth MacFarlane,4.5645489999999995,6/25/15,6.3,1666,Universal Pictures,62559972.4736121,198594430.13845,2015,115,214756,tt2637276
Kingsman: The Secret Service,Crime,Taron Egerton,Colin Firth,Matthew Vaughn,4.503789,1/24/15,7.6,3833,Twentieth Century Fox Film Corporation,74519967.21121441,371497801.660967,2015,130,207703,tt2802144
Spotlight,Drama,Mark Ruffalo,Michael Keaton,Tom McCarthy,4.062293,11/6/15,7.8,1559,Participant Media,18399991.9040035,81278719.39736341,2015,128,314365,tt1895587
Maze Runner: The Scorch Trials,Action,Dylan O'Brien,Kaya Scodelario,Wes Ball,3.968891,9/9/15,6.4,1849,Gotham Group,56119975.30721079,286356245.923251,2015,132,294254,tt4046784
Mr. Holmes,Mystery,Ian McKellen,Milo Parker,Bill Condon,3.927333,6/19/15,6.4,425,BBC Films,36465392.87917733,27006774.877019,2015,103,280996,tt3168230
Chappie,Crime,Sharlto Copley,Dev Patel,Neill Blomkamp,3.899557,3/4/15,6.6,1990,Columbia Pictures,45079980.164808705,93903685.2423785,2015,120,198184,tt1823672
Pitch Perfect 2,Comedy,Anna Kendrick,Rebel Wilson,Elizabeth Banks,3.877764,5/7/15,6.8,1264,Universal Pictures,26679988.260805104,264505582.09754303,2015,115,254470,tt2848292
Bridge of Spies,Thriller,Tom Hanks,Mark Rylance,Steven Spielberg,3.6482099999999997,10/15/15,7.1,1638,DreamWorks SKG,36799983.808007106,149601569.335309,2015,141,296098,tt3682448
Goosebumps,Adventure,Jack Black,Dylan Minnette,Rob Letterman,3.6445410000000003,8/5/15,6.2,600,Columbia Pictures,53359976.5216103,138157089.01088,2015,103,257445,tt1051904
Room,Drama,Brie Larson,Jacob Tremblay,Lenny Abrahamson,3.557846,10/16/15,8.0,1520,Element Pictures,5519997.57120106,32569603.029374603,2015,117,264644,tt3170832
Solace,Crime,Abbie Cornish,Jeffrey Dean Morgan,Afonso Poyart,3.358321,9/3/15,6.2,474,Eden Rock Media,36465392.87917733,20566197.1908732,2015,101,339527,tt1291570
The Good Dinosaur,Adventure,Raymond Ochoa,Jack Bright,Peter Sohn,3.3391349999999997,11/14/15,6.6,1087,Walt Disney Pictures,160999929.16003102,305371920.876354,2015,93,105864,tt1979388
Run All Night,Action,Liam Neeson,Ed Harris,Jaume Collet-Serra,3.23737,3/11/15,6.3,814,Vertigo Entertainment,45999979.7600089,65836683.5118592,2015,114,241554,tt2199571
Brooklyn,Drama,Saoirse Ronan,Domhnall Gleeson,John Crowley,3.227329,11/4/15,7.3,754,Wildgaze Films,10119995.5472019,57110024.5915891,2015,111,167073,tt2381111
Straight Outta Compton,Drama,O'Shea Jackson Jr.,Corey Hawkins,F. Gary Gray,3.2027189999999996,8/13/15,7.7,918,New Line Cinema,25759988.665604897,185504110.098191,2015,147,277216,tt1398426
The Last Witch Hunter,Fantasy,Vin Diesel,Rose Leslie,Breck Eisner,3.080505,10/21/15,5.6,879,Summit Entertainment,82799963.56801601,129164861.16746101,2015,106,274854,tt1618442
Steve Jobs,History,Michael Fassbender,Kate Winslet,Danny Boyle,3.0795220000000003,10/9/15,6.9,1035,Universal Pictures,27599987.856005296,31686509.2179359,2015,122,321697,tt2080374
The Man from U.N.C.L.E.,Comedy,Henry Cavill,Armie Hammer,Guy Ritchie,3.0534209999999997,8/13/15,7.0,1548,Davis Entertainment,68999969.64001329,99493456.50287908,2015,116,203801,tt1638355
The Age of Adaline,Fantasy,Blake Lively,Michiel Huisman,Lee Toland Krieger,3.025852,4/16/15,7.3,1221,Lakeshore Entertainment,22999989.8800044,39219376.6634742,2015,112,293863,tt1655441
Hardcore Henry,Action,Sharlto Copley,Haley Bennett,Ilya Naishuller,3.023253,9/12/15,5.9,396,Bazelevs Production,9199995.95200178,13187080.9976843,2015,97,325348,tt3072482
Paper Towns,Drama,Nat Wolff,Cara Delevingne,Jake Schreier,2.968254,7/9/15,6.2,1252,Fox 2000 Pictures,11039995.1424021,78671281.38463621,2015,109,286565,tt3622592
Wild Card,Thriller,Jason Statham,Michael Angarano,Simon West,2.93234,1/14/15,5.3,481,Current Entertainment,27599987.856005296,113802822.54054782,2015,92,265208,tt2231253
The Lobster,Thriller,Colin Farrell,Rachel Weisz,Yorgos Lanthimos,2.8851259999999996,10/8/15,6.6,638,Haut et Court,3679998.38080071,8339346.45068756,2015,118,254320,tt3464902
Carol,Romance,Cate Blanchett,Rooney Mara,Todd Haynes,2.883233,11/20/15,7.1,562,Killer Films,10855995.2233621,37050347.8978469,2015,118,258480,tt2402927
The Intern,Comedy,Robert De Niro,Anne Hathaway,Nancy Meyers,2.8148020000000002,9/24/15,7.1,1255,Waverly Films,32199985.8320062,178999419.480255,2015,121,257211,tt2361509
Joy,Comedy,Jennifer Lawrence,Bradley Cooper,David O. Russell,2.793297,12/24/15,6.4,1001,Fox 2000 Pictures,55199975.71201059,93043293.3409509,2015,124,274479,tt2446980
Burnt,Drama,Bradley Cooper,Sienna Miller,John Wells,2.584264,10/2/15,6.3,631,Double Feature Films,18399991.9040035,33678188.7415969,2015,100,295964,tt2503944
Self/less,Science Fiction,Ryan Reynolds,Ben Kingsley,Tarsem Singh,2.578919,7/10/15,6.2,719,Endgame Entertainment,23919989.475204602,28081355.564203497,2015,116,238615,tt2140379
Mortdecai,Comedy,Johnny Depp,Gwyneth Paltrow,David Koepp,2.575711,1/21/15,5.3,696,Lionsgate,55199975.71201059,27985062.8865723,2015,106,210860,tt3045616
The Danish Girl,Drama,Eddie Redmayne,Alicia Vikander,Tom Hooper,2.557859,11/27/15,7.3,867,Pretty Pictures,13799993.9280026,59056175.175282896,2015,120,306819,tt0810819
Blackhat,Mystery,Chris Hemsworth,Leehom Wang,Michael Mann,2.5507470000000003,1/13/15,5.0,584,Universal Pictures,64399971.6640124,16332697.613613,2015,133,201088,tt2717822
Sicario,Action,Emily Blunt,Benicio del Toro,Denis Villeneuve,2.487849,9/17/15,7.1,1479,Lionsgate,27599987.856005296,77303716.7063646,2015,121,273481,tt3397884
The Witch,Mystery,Anya Taylor-Joy,Ralph Ineson,Robert Eggers,2.46449,3/24/15,5.8,700,Parts and Labor,3219998.58320062,37190013.0363942,2015,92,310131,tt4263482
Spy,Action,Melissa McCarthy,Jason Statham,Paul Feig,2.404473,5/6/15,6.9,1840,Twentieth Century Fox Film Corporation,59799973.6880115,216812826.082356,2015,120,238713,tt3079380
Focus,Romance,Will Smith,Margot Robbie,Glenn Ficarra|John Requa,2.395366,2/25/15,6.7,1831,Kramer & Sigman Films,46091979.7195289,141645863.63582,2015,105,256591,tt2381941
Hitman: Agent 47,Action,Rupert Friend,Zachary Quinto,Aleksander Bach,2.354654,8/20/15,5.5,820,Twentieth Century Fox Film Corporation,32199985.8320062,75759810.18568349,2015,96,249070,tt2679042
In the Heart of the Sea,Thriller,Chris Hemsworth,Benjamin Walker,Ron Howard,2.345821,11/20/15,6.4,805,Imagine Entertainment,91999959.5200178,86315059.3813738,2015,122,205775,tt1390411
Creed,Drama,Michael B. Jordan,Sylvester Stallone,Ryan Coogler,2.3315669999999997,11/25/15,7.3,1171,New Line Cinema,32199985.8320062,126900665.803707,2015,133,312221,tt3076658
Trainwreck,Comedy,Amy Schumer,Bill Hader,Judd Apatow,2.31767,7/17/15,6.1,849,Universal Pictures,32199985.8320062,129532072.56588799,2015,125,271718,tt3152624
Eye in the Sky,Drama,Helen Mirren,Aaron Paul,Gavin Hood,2.29573,9/11/15,7.2,265,Entertainment One,11959994.737602301,30220316.9030605,2015,102,333352,tt2057392
Beyond the Reach,Thriller,Michael Douglas,Jeremy Irvine,Jean-Baptiste LÃ©onetti,2.2720439999999997,4/17/15,5.5,81,Furthur Films,36465392.87917733,42223.381421712096,2015,95,284289,tt2911668
Pan,Adventure,Levi Miller,Garrett Hedlund,Joe Wright,2.234573,9/24/15,5.9,586,Warner Bros.,137999939.280026,118117202.42843,2015,111,266647,tt3332064
Mythica: The Darkspore,Action,Melanie Stone,Kevin Sorbo,Anne K. Black,2.165433,6/24/15,5.1,27,Arrowstorm Entertainment,36465392.87917733,113802822.54054782,2015,108,347096,tt3478232
Me and Earl and the Dying Girl,Comedy,Thomas Mann,RJ Cyler,Alfonso Gomez-Rejon,2.141506,6/12/15,7.7,569,Indian Paintbrush,36465392.87917733,113802822.54054782,2015,105,308369,tt2582496
The Peanuts Movie,Adventure,Noah Schnapp,Bill Melendez,Steve Martino,2.140199,11/5/15,6.4,414,Blue Sky Studios,91079959.92481759,226534364.284879,2015,88,227973,tt2452042
The Night Before,Comedy,Joseph Gordon-Levitt,Seth Rogen,Jonathan Levine,2.096273,11/20/15,6.1,363,Sony Pictures,22999989.8800044,48204295.110110104,2015,100,296100,tt3530002
Knock Knock,Drama,Keanu Reeves,Lorenza Izzo,Eli Roth,2.0809349999999998,6/26/15,4.8,473,Universum Film (UFA),2299998.98800044,4796917.44935632,2015,99,263472,tt3605418
The Longest Ride,Romance,Scott Eastwood,Britt Robertson,"George Tillman, Jr.",2.070708,4/9/15,7.3,711,Fox 2000 Pictures,31279986.236806,57972193.012235,2015,128,228205,tt2726560
Hotel Transylvania 2,Animation,Adam Sandler,Andy Samberg,Genndy Tartakovsky,2.060162,9/21/15,6.8,919,Columbia Pictures,73599967.61601421,428888671.76898396,2015,89,159824,tt2510894
Love the Coopers,Family,Steve Martin,Diane Keaton,Jessie Nelson,2.055572,11/12/15,5.3,111,Imagine Entertainment,15639993.118403,22079990.2848042,2015,107,333348,tt2279339
The Walk,Adventure,Joseph Gordon-Levitt,Ben Kingsley,Robert Zemeckis,2.049886,9/30/15,6.8,706,TriStar Pictures,32199985.8320062,56287361.873560704,2015,123,285783,tt3488710
Tracers,Action,Marie Avgeropoulos,Taylor Lautner,Daniel Benmayor,2.0266509999999998,1/15/15,5.9,326,Temple Hill Entertainment,10119995.5472019,1714249.04573042,2015,94,290764,tt2401097
Vacation,Adventure,Ed Helms,Christina Applegate,John Francis Daley|Jonathan M. Goldstein,2.000338,7/28/15,6.1,846,New Line Cinema,28519987.4512055,96033410.70529921,2015,99,296099,tt1524930
Maggie,Horror,Arnold Schwarzenegger,Abigail Breslin,Henry Hobson,1.9800389999999999,5/8/15,5.1,384,Lionsgate,3679998.38080071,172142.964257095,2015,95,287424,tt1881002
Equals,Drama,Kristen Stewart,Nicholas Hoult,Drake Doremus,1.9597650000000002,9/4/15,5.6,135,Scott Free Productions,36465392.87917733,1839999.19040035,2015,101,301875,tt3289728
Child 44,Crime,Tom Hardy,Gary Oldman,Daniel Espinosa,1.95632,3/15/15,5.9,341,Summit Entertainment,45999979.7600089,3058382.2543117995,2015,137,181283,tt1014763
Daddy's Home,Comedy,Will Ferrell,Mark Wahlberg,Sean Anders,1.904898,12/25/15,5.7,568,Paramount Pictures,45999979.7600089,221131463.342156,2015,96,274167,tt1528854
Mythica: The Necromancer,Fantasy,Melanie Stone,Adam Johnson,A. Todd Smith,1.876037,12/19/15,5.4,11,Arrowstorm Entertainment,36465392.87917733,113802822.54054782,2015,0,370687,tt3608646
Vice,Thriller,Ambyr Childers,Thomas Jane,Brian A Miller,1.872696,1/16/15,4.1,181,Grindstone Entertainment Group,9199995.95200178,113802822.54054782,2015,96,307663,tt3480796
The Little Prince,Adventure,Jeff Bridges,Rachel McAdams,Mark Osborne,1.865007,7/29/15,7.5,423,Onyx Films,58879974.0928114,89765510.50317529,2015,92,309809,tt1754656
Alvin and the Chipmunks: The Road Chip,Adventure,Jason Lee,Justin Long,Walt Becker,1.841779,12/17/15,5.7,278,Regency Enterprises,36465392.87917733,215055014.135793,2015,92,258509,tt2974918
The Dressmaker,Drama,Kate Winslet,Liam Hemsworth,Jocelyn Moorhouse,1.82313,10/1/15,6.9,197,Amazon Studios,10975595.1707381,16872792.5759712,2015,118,298382,tt2910904
The DUFF,Romance,Mae Whitman,Robbie Amell,Ari Sandel,1.758618,2/20/15,6.8,753,Wonderland Sound and Vision,7819996.55920151,40046325.65961671,2015,100,272693,tt1666801
Sinister 2,Horror,Shannyn Sossamon,James Ransone,Ciaran Foy,1.742286,8/19/15,5.5,331,Alliance Films,9199995.95200178,48651435.1533685,2015,97,283445,tt2752772
Paul Blart: Mall Cop 2,Action,Kevin James,Raini Rodriguez,Andy Fickman,1.73518,4/16/15,5.3,422,Columbia Pictures,27599987.856005296,98989419.0846556,2015,94,256961,tt3450650
Frozen Fever,Adventure,Kristen Bell,Idina Menzel,Chris Buck|Jennifer Lee,1.7247119999999898,3/9/15,7.0,475,Walt Disney Pictures,36465392.87917733,113802822.54054782,2015,8,326359,tt4007502
High-Rise,Action,Tom Hiddleston,Sienna Miller,Ben Wheatley,1.661789,9/26/15,5.4,161,Ingenious Media,36465392.87917733,113802822.54054782,2015,119,254302,tt0462335
The Boy Next Door,Thriller,Jennifer Lopez,Ryan Guzman,Rob Cohen,1.6510779999999898,1/23/15,3.9,810,Universal Pictures,3679998.38080071,46150034.4539848,2015,91,241251,tt3181822
Spooks: The Greater Good,Thriller,Peter Firth,Kit Harington,Bharat Nalluri,1.646664,4/11/15,5.6,114,BBC Films,36465392.87917733,113802822.54054782,2015,104,292040,tt3321300
Entourage,Comedy,Jeremy Piven,Adrian Grenier,Doug Ellin,1.532997,6/3/15,6.2,364,Warner Bros.,27599987.856005296,45322311.73818279,2015,104,188222,tt1674771
The Wedding Ringer,Comedy,Kevin Hart,Josh Gad,Jeremy Garelick,1.5100959999999999,1/16/15,6.5,446,Miramax Films,21159990.689604,73415857.2970227,2015,101,252838,tt0884732
Scouts Guide to the Zombie Apocalypse,Comedy,Tye Sheridan,Logan Miller,Christopher B. Landon,1.499614,10/23/15,6.2,288,Paramount Pictures,13799993.9280026,13671898.704364501,2015,93,273477,tt1727776
The Visit,Horror,Olivia DeJonge,Ed Oxenbould,M. Night Shyamalan,1.495112,9/10/15,5.9,729,Blumhouse Productions,4599997.97600089,90574017.18743241,2015,94,298312,tt3567288
Black Mass,Crime,Johnny Depp,Joel Edgerton,Scott Cooper,1.4832459999999899,9/4/15,6.3,848,Infinitum Nihil,48759978.5456094,91793583.3708233,2015,122,261023,tt1355683
Krampus,Horror,Adam Scott,Toni Collette,Michael Dougherty,1.448002,11/26/15,5.9,342,Universal Pictures,13799993.9280026,56624785.5250943,2015,98,287903,tt3850590
Dark Places,Drama,Charlize Theron,Nicholas Hoult,Gilles Paquet-Brenner,1.443406,3/31/15,5.7,322,Denver and Delilah Productions,18399991.9040035,191900.87556361398,2015,113,182560,tt2402101
Dope,Crime,Shameik Moore,Kiersey Clemons,Rick Famuyiwa,1.40805,6/19/15,7.3,448,Forest Whitaker's Significant Productions,643999.716640124,16547831.2389542,2015,103,308639,tt3850214
American Ultra,Comedy,Jesse Eisenberg,Kristen Stewart,Nima Nourizadeh,1.3882510000000001,8/19/15,5.9,695,Concorde Filmverleih,25759988.665604897,25951426.781372197,2015,96,261392,tt3316948
Woman in Gold,Drama,Helen Mirren,Ryan Reynolds,Simon Curtis,1.388032,4/10/15,7.3,277,BBC Films,10119995.5472019,56690166.216326796,2015,120,304357,tt2404425
The Scorpion King: The Lost Throne,Action,Victor Webster,Ellen Hollman,Mike Elliott,1.38032,1/9/15,4.5,22,Universal Pictures,36465392.87917733,113802822.54054782,2015,105,297291,tt3086386
Project Almanac,Science Fiction,Jonny Weston,Virginia Gardner,Dean Israelite,1.360926,1/30/15,6.3,637,Paramount Pictures,11039995.1424021,29668368.665917702,2015,106,227719,tt2436386
Absolutely Anything,Comedy,Simon Pegg,Kate Beckinsale,Terry Jones,1.360827,6/26/15,5.8,199,Premiere Picture,36465392.87917733,4774472.21923222,2015,85,86828,tt1727770
The Transporter Refueled,Thriller,Ed Skrein,Ray Stevenson,Camille Delamarre,1.3558219999999999,9/3/15,5.3,407,EuropaCorp,22999989.8800044,66819266.9995225,2015,96,287948,tt2938956
Crimson Peak,Mystery,Mia Wasikowska,Jessica Chastain,Guillermo del Toro,1.345982,10/13/15,6.4,819,Legendary Pictures,50599977.7360098,68705406.0096213,2015,119,201085,tt2554274
Everly,Thriller,Salma Hayek,Hiroyuki Watanabe,Joe Lynch,1.342839,1/23/15,5.1,169,Crime Scene Pictures,36465392.87917733,113802822.54054782,2015,90,277355,tt1945084
Magic Mike XXL,Comedy,Channing Tatum,Matt Bomer,Gregory Jacobs,1.338481,7/1/15,6.3,501,Warner Bros.,13615994.0089626,112619962.88721599,2015,115,264999,tt2268016
Paranormal Activity: The Ghost Dimension,Horror,Chris J. Murray,Brit Shaw,Gregory Plotkin,1.338322,10/21/15,5.0,267,Paramount Pictures,9199995.95200178,71851557.1453148,2015,88,146301,tt2473510
Slow West,Romance,Michael Fassbender,Kodi Smit-McPhee,John Maclean,1.329702,4/16/15,6.6,229,The New Zealand Film Commission,36465392.87917733,210766.38726278898,2015,84,223485,tt3205376
Trumbo,Drama,Bryan Cranston,Diane Lane,Jay Roach,1.316239,10/27/15,7.2,273,Groundswell Productions,13799993.9280026,7576804.78620589,2015,124,294016,tt3203606
Secret in Their Eyes,Crime,Chiwetel Ejiofor,Nicole Kidman,Billy Ray,1.315266,10/14/15,6.2,202,Ingenious Media,17939992.1064034,29614535.809604198,2015,111,290751,tt1741273
Mistress America,Comedy,Greta Gerwig,Lola Kirke,Noah Baumbach,1.29314,8/14/15,6.4,132,RT Features,36465392.87917733,2300395.50782597,2015,84,309245,tt2872462
The SpongeBob Movie: Sponge Out of Water,Family,Tom Kenny,Bill Fagerbakke,Paul Tibbitt,1.291013,2/5/15,5.7,533,Paramount Pictures,68079970.0448131,286666383.306791,2015,93,228165,tt2279373
True Story,Crime,Jonah Hill,James Franco,Rupert Goold,1.284541,4/17/15,6.0,354,Plan B Entertainment,36465392.87917733,4342117.4894683,2015,100,245706,tt2273657
Shaun the Sheep Movie,Family,Justin Fletcher,Omid Djalili,Mark Burton|Richard Starzack,1.25358,2/5/15,6.9,340,Aardman Animations,36465392.87917733,54923975.83345061,2015,85,263109,tt2872750
Louder Than Bombs,Drama,Gabriel Byrne,Isabelle Huppert,Joachim Trier,1.251681,5/18/15,6.3,43,Motlys,10119995.5472019,113802822.54054782,2015,109,157827,tt2217859
A Perfect Day,Comedy,Olga Kurylenko,Benicio del Toro,Fernando LeÃ³n de Aranoa,1.2452239999999999,8/28/15,6.3,102,Reposado Producciones,36465392.87917733,1566237.67085542,2015,106,321751,tt3577624
The Gunman,Action,Sean Penn,Jasmine Trinca,Pierre Morel,1.225325,2/16/15,5.6,283,StudioCanal,36799983.808007106,9811564.7629115,2015,115,266396,tt2515034
Unfriended,Horror,Shelley Hennig,Moses Jacob Storm,Levan Gabriadze,1.191138,4/17/15,5.6,643,Bazelevs Production,919999.595200178,57851497.3453411,2015,82,277685,tt3713166
Insidious: Chapter 3,Drama,Dermot Mulroney,Stefanie Scott,Leigh Whannell,1.1647239999999999,6/4/15,6.3,610,Sony Pictures,9199995.95200178,95959500.6978197,2015,97,280092,tt3195644
Z for Zachariah,Drama,Margot Robbie,Chiwetel Ejiofor,Craig Zobel,1.161812,8/13/15,5.5,181,Palomar Pictures,36465392.87917733,109004.312038102,2015,97,193687,tt1598642
Dragonheart 3: The Sorcerer's Curse,Action,Julian Morris,Tamzin Merchant,Colin Teague,1.144808,2/24/15,4.5,59,Raffaella Productions,36465392.87917733,113802822.54054782,2015,97,300803,tt3829170
The Lady in the Van,Comedy,Maggie Smith,Alex Jennings,Nicholas Hytner,1.142518,11/13/15,5.9,135,BBC Films,5519997.57120106,38076655.2862716,2015,104,328589,tt3722070
Victor Frankenstein,Drama,James McAvoy,Daniel Radcliffe,Paul McGuigan,1.138395,11/10/15,5.5,408,Twentieth Century Fox Film Corporation,36799983.808007106,31489100.3047958,2015,109,228066,tt1976009
Brothers of the Wind,Adventure,Manuel Camacho,Jean Reno,Gerado Olivares|Otmar Penker,1.128081,12/24/15,7.5,11,Terra Mater Factual Studios,36465392.87917733,113802822.54054782,2015,98,378373,tt3532278
Anomalisa,Animation,Jennifer Jason Leigh,David Thewlis,Duke Johnson|Charlie Kaufman,1.1252389999999999,12/30/15,6.7,259,Starburns Industries,7359996.76160142,3458541.59824169,2015,90,291270,tt2401878
Bone Tomahawk,Horror,Kurt Russell,Richard Jenkins,S. Craig Zahler,1.0733489999999999,10/23/15,6.3,220,Caliber Media Company,1655999.27136032,113802822.54054782,2015,132,294963,tt2494362
Regression,Horror,Ethan Hawke,Emma Watson,Alejandro AmenÃ¡bar,1.065888,10/1/15,5.2,310,The Weinstein Company,36465392.87917733,16257405.7667414,2015,106,241257,tt3319920
Pawn Sacrifice,Drama,Tobey Maguire,Lily Rabe,Edward Zwick,1.0630549999999999,9/16/15,6.6,148,Material Pictures,36465392.87917733,113802822.54054782,2015,114,245698,tt1596345
The Man Who Knew Infinity,Drama,Jeremy Irons,Dev Patel,Matt Brown,1.046518,9/17/15,7.1,104,Animus Films,36465392.87917733,10554653.0359526,2015,108,353326,tt0787524
Momentum,Thriller,Olga Kurylenko,Morgan Freeman,Stephen S. Campanelli,1.041922,8/1/15,5.8,100,Thaba Media,18399991.9040035,113802822.54054782,2015,96,346808,tt3181776
The Diary of a Teenage Girl,Drama,Bel Powley,Kristen Wiig,Marielle Heller,1.03839,8/7/15,6.8,186,Caviar Films,1839999.19040035,1358841.24210985,2015,102,250124,tt3172532
Pay the Ghost,Horror,Nicolas Cage,Sarah Wayne Callies,Uli Edel,1.036825,9/16/15,5.3,114,Voltage Films,36465392.87917733,113802822.54054782,2015,94,290637,tt3733778
The Voices,Horror,Ryan Reynolds,Gemma Arterton,Marjane Satrapi,1.02762,2/6/15,6.0,371,Studio Babelsberg,36465392.87917733,113802822.54054782,2015,101,244458,tt1567437
Last Knights,Action,Clive Owen,Morgan Freeman,Kazuaki Kiriya,1.021441,4/3/15,6.3,237,Czech Anglo Productions,36465392.87917733,3352102.24507501,2015,115,308504,tt2493486
Il racconto dei racconti,Romance,Salma Hayek,Vincent Cassel,Matteo Garrone,1.0084739999999999,5/14/15,5.7,211,HanWay Films,11039995.1424021,113802822.54054782,2015,125,314405,tt3278330
Irrational Man,Mystery,Emma Stone,Joaquin Phoenix,Woody Allen,1.0070540000000001,7/17/15,6.1,319,Sony Pictures,10119995.5472019,25199786.192094002,2015,95,282984,tt3715320
Queen of the Desert,Drama,Nicole Kidman,James Franco,Werner Herzog,0.973316,9/3/15,6.0,30,Benaroya Pictures,13799993.9280026,113802822.54054782,2015,128,157843,tt1837636
Ricki and the Flash,Comedy,Meryl Streep,Kevin Kline,Jonathan Demme,0.956096,7/10/15,5.5,152,Columbia TriStar,16559992.713603199,38019285.0315145,2015,100,275601,tt3623726
Miss You Already,Comedy,Drew Barrymore,Toni Collette,Catherine Hardwicke,0.9536469999999999,9/12/15,7.2,139,S Films,36465392.87917733,113802822.54054782,2015,112,290762,tt2245003
